#,question,a,b,c,d,correct_answer,category
ο»Ώ1,"Ξ— ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ± Ξ­ΞΊΟ†ΟΞ±ΟƒΞ·Ο‚ Ξ³Ξ½ΟΞΌΞ·Ο‚ Ξ±ΟƒΞΊΞµΞ―Ο„Ξ±ΞΉ:","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","Ξ‘Ο€Ο ΟΟƒΞΏΟ…Ο‚/ΞµΟ‚ ΞµΟ…ΟΞ―ΟƒΞΊΞΏΞ½Ο„Ξ±ΞΉ ΟƒΟ„Ξ·Ξ½ Ξ•Ξ»Ξ»Ξ·Ξ½ΞΉΞΊΞ® ΞµΟ€ΞΉΞΊΟΞ¬Ο„ΞµΞΉΞ±","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ ΞΏΞΌΞΏΞ³ΞµΞ½ΞµΞ―Ο‚","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΊΞ±Ο„ΟΟ‡ΞΏΟ…Ο‚ Ο„Ξ·Ο‚ ΞΊΞΏΞΉΞ½Ξ®Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΉΞΈΞ±Ξ³Ξ­Ξ½ΞµΞΉΞ±Ο‚",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
74,"ΞΞ½Ξ±Ο‚ ΞΟΞ³Ξ±Ξ½ΞΉΟƒΞΌΟΟ‚ Ξ¤ΞΏΟ€ΞΉΞΊΞ®Ο‚ Ξ‘Ο…Ο„ΞΏΞ΄ΞΉΞΏΞ―ΞΊΞ·ΟƒΞ·Ο‚ (ΞΞ¤Ξ‘), Ο€ΟΞΏΞΊΞµΞΉΞΌΞ­Ξ½ΞΏΟ… Ξ½Ξ± Ο†Ξ­ΟΞµΞΉ ΟƒΞµ Ο€Ξ­ΟΞ±Ο‚ Ο„Ξ·Ξ½ Ξ±Ο€ΞΏΟƒΟ„ΞΏΞ»Ξ® Ο„ΞΏΟ… ΞΌΞµ Ξ±Ο€ΞΏΟ„ΞµΞ»ΞµΟƒΞΌΞ±Ο„ΞΉΞΊΟ Ο„ΟΟΟ€ΞΏ, Ξ±Ο€Ξ±ΞΉΟ„ΞµΞ―Ο„Ξ±ΞΉ Ξ½Ξ± Ξ΄ΞΉΞ±ΞΈΞ­Ο„ΞµΞΉ Ο„Ξ± Ξ±Ο€Ξ±ΞΉΟ„ΞΏΟΞΌΞµΞ½Ξ± Ξ³ΞΉΞ± Ο„ΞΏΞ½ ΟƒΞΊΞΏΟ€Ο Ξ±Ο…Ο„ΟΞ½ ΞΌΞ­ΟƒΞ± ΞΏΟΞ³Ξ±Ξ½Ο‰Ο„ΞΉΞΊΞΏΞ΄ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΞ®Ο‚, ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ®Ο‚ ΞΊΞ±ΞΉ Ξ»ΞµΞΉΟ„ΞΏΟ…ΟΞ³ΞΉΞΊΞ®Ο‚ Ο†ΟΟƒΞ·Ο‚. Ξ¤Ξ± Ο‰Ο‚ Ξ¬Ξ½Ο‰ Ξ±Ξ½Ξ±Ο†Ξ­ΟΞΏΞ½Ο„Ξ±ΞΉ ΟƒΟ„Ξ·Ξ½ Ξ±ΟΟ‡Ξ®:","Ξ¤Ξ·Ο‚ Ξ΄ΞΉΞ±Ο†Ξ¬Ξ½ΞµΞΉΞ±Ο‚ ΞΊΞ±ΞΉ Ξ»ΞΏΞ³ΞΏΞ΄ΞΏΟƒΞ―Ξ±Ο‚","Ξ¤Ξ·Ο‚ Ο€Ξ»Ξ·ΟΟΟ„Ξ·Ο„Ξ±Ο‚ ΞΊΞ±ΞΉ Ξ±Ο€ΞΏΞΊΞ»ΞµΞΉΟƒΟ„ΞΉΞΊΟΟ„Ξ·Ο„Ξ±Ο‚","Ξ¤Ξ·Ο‚ ΞµΟ€Ξ¬ΟΞΊΞµΞΉΞ±Ο‚ ΞΊΞ±ΞΉ ΞΊΞ±Ο„Ξ±Ξ»Ξ»Ξ·Ξ»ΟΟ„Ξ·Ο„Ξ±Ο‚","Ξ¤Ξ·Ο‚ ΟƒΟ…Ξ½ΞµΟΞ³Ξ±ΟƒΞ―Ξ±Ο‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ… ΟƒΟ…Ξ½Ο„ΞΏΞ½ΞΉΟƒΞΌΞΏΟ",2,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
75,"ΞΞΉ Ξ±Ο…Ο„ΞΏΟ„ΞµΞ»ΞµΞ―Ο‚ Ξ® Ξ±Ο€ΞΏΞΊΞµΞ½Ο„ΟΟ‰ΞΌΞ­Ξ½ΞµΟ‚ Ξ΄Ξ·ΞΌΟΟƒΞΉΞµΟ‚ Ο…Ο€Ξ·ΟΞµΟƒΞ―ΞµΟ‚ Ξ΄ΟΞ½Ξ±Ξ½Ο„Ξ±ΞΉ Ξ½Ξ±:","Ξ¥Ο€Ξ¬Ξ³ΞΏΞ½Ο„Ξ±ΞΉ ΞΏΟΞ³Ξ±Ξ½Ο‰Ο„ΞΉΞΊΞ¬ ΟƒΞµ ΞΏΟΞΉΟƒΞΌΞ­Ξ½ΞΏ Ξ¥Ο€ΞΏΟ…ΟΞ³ΞµΞ―ΞΏ","Ξ¥Ο€Ξ¬Ξ³ΞΏΞ½Ο„Ξ±ΞΉ ΞΏΟΞ³Ξ±Ξ½Ο‰Ο„ΞΉΞΊΞ¬ ΟƒΞµ ΞΏΟΞΉΟƒΞΌΞ­Ξ½ΞΏ Ξ¥Ο€ΞΏΟ…ΟΞ³ΞµΞ―ΞΏ ΞΊΞ±ΞΉ Ξ½Ξ± Ο‡Ξ±Ξ―ΟΞΏΟ…Ξ½ Ξ΄Ξ·ΞΌΞΏΟƒΞΉΞΏΞ½ΞΏΞΌΞΉΞΊΞ®Ο‚ Ξ±Ο…Ο„ΞΏΟ„Ξ­Ξ»ΞµΞΉΞ±Ο‚","Ξ¥Ο€Ξ¬Ξ³ΞΏΞ½Ο„Ξ±ΞΉ ΞΏΟΞ³Ξ±Ξ½Ο‰Ο„ΞΉΞΊΞ¬ ΟƒΞµ ΞΏΟΞΉΟƒΞΌΞ­Ξ½ΞΏ Ξ¥Ο€ΞΏΟ…ΟΞ³ΞµΞ―ΞΏ ΞΊΞ±ΞΉ Ξ½Ξ± Ο‡Ξ±Ξ―ΟΞΏΟ…Ξ½ Ξ΄ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΞ®Ο‚ Ξ±Ο…Ο„ΞΏΟ„Ξ­Ξ»ΞµΞΉΞ±Ο‚","Ξ¥Ο€Ξ¬Ξ³ΞΏΞ½Ο„Ξ±ΞΉ ΞΏΟΞ³Ξ±Ξ½Ο‰Ο„ΞΉΞΊΞ¬ ΟƒΞµ ΞΏΟΞΉΟƒΞΌΞ­Ξ½ΞΏ Ξ¥Ο€ΞΏΟ…ΟΞ³ΞµΞ―ΞΏ ΞΊΞ±ΞΉ Ξ½Ξ± Ο‡Ξ±Ξ―ΟΞΏΟ…Ξ½ Ξ΄Ξ·ΞΌΞΏΟƒΞΉΞΏΞ½ΞΏΞΌΞΉΞΊΞ®Ο‚ ΞΊΞ±ΞΉ Ξ΄ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΞ®Ο‚ Ξ±Ο…Ο„ΞΏΟ„Ξ­Ξ»ΞµΞΉΞ±Ο‚",3,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
76,"Ξ¤Ξ± Ξ”Ξ·ΞΌΟΟƒΞΉΞ± ΞΞΏΞΌΞΉΞΊΞ¬ Ξ ΟΟΟƒΟ‰Ο€Ξ± ΞµΞ―Ξ½Ξ±ΞΉ ΞΌΞΏΟΟ†Ξ­Ο‚ ΞΏΟΞ³Ξ¬Ξ½Ο‰ΟƒΞ·Ο‚ Ο„Ξ·Ο‚ Ξ”Ξ·ΞΌΟΟƒΞΉΞ±Ο‚ Ξ”ΞΉΞΏΞ―ΞΊΞ·ΟƒΞ·Ο‚ Ο€ΞΏΟ…:","Ξ”ΞΉΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ Ο€Ξ¬Ξ½Ο„Ξ± Ξ±Ο€Ο Ο„ΞΏ Ξ”Ξ·ΞΌΟΟƒΞΉΞΏ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ","Ξ”ΞµΞ½ Ξ΄ΞΉΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ Ξ±Ο€Ο Ο„Ξ·Ξ½ Ξ±ΟΟ‡Ξ® Ο„Ξ·Ο‚ Ξ½ΞΏΞΌΞΉΞΌΟΟ„Ξ·Ο„Ξ±Ο‚ Ο€ΞΏΟ… ΞµΟ†Ξ±ΟΞΌΟΞ¶ΞµΟ„Ξ±ΞΉ ΟƒΞµ ΟƒΟ‡Ξ­ΟƒΞ· ΞΌΞµ Ο„Ξ· Ξ΄ΟΞ¬ΟƒΞ· Ο„Ξ·Ο‚ Ξ”Ξ·ΞΌΟΟƒΞΉΞ±Ο‚ Ξ”ΞΉΞΏΞ―ΞΊΞ·ΟƒΞ·Ο‚","ΞΟ€ΞΏΟΞµΞ― Ξ½Ξ± Ξ΄ΞΉΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ ΞΊΞ±ΞΉ Ξ±Ο€Ο Ο„ΞΏ Ξ™Ξ΄ΞΉΟ‰Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ","Ξ”ΞΉΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ Ο€Ξ¬Ξ½Ο„Ξ± Ξ±Ο€Ο Ο„ΞΏ Ξ”Ξ·ΞΌΟΟƒΞΉΞΏ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ ΞΊΞ±ΞΉ ΞΌΟ€ΞΏΟΞµΞ― Ξ½Ξ± Ξ΄ΞΉΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ ΞΊΞ±ΞΉ Ξ±Ο€Ο Ο„ΞΏ Ξ™Ξ΄ΞΉΟ‰Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ",2,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
77,"Ξ£Ο„ΞΏ Ο€Ξ»Ξ±Ξ―ΟƒΞΉΞΏ ΟƒΟΞ½Ξ±ΟΞ·Ο‚ Ξ΄Ξ·ΞΌΟΟƒΞΉΞ±Ο‚ ΟƒΟΞΌΞ²Ξ±ΟƒΞ·Ο‚, ΞΏ/Ξ· Ξ­Ο‡Ο‰Ξ½/ΞΏΟ…ΟƒΞ± Ξ­Ξ½Ξ½ΞΏΞΌΞΏ ΟƒΟ…ΞΌΟ†Ξ­ΟΞΏΞ½ ΞΊΞ±Ο„Ξ¬ ΞµΞΊΟ„ΞµΞ»ΞµΟƒΟ„Ξ®Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚ Ξ±Ξ½Ξ±ΞΈΞ­Ο„ΞΏΞ½Ο„ΞΏΟ‚ Ξ΄Ξ·ΞΌΟΟƒΞΉΞΏΟ… Ο†ΞΏΟΞ­Ξ± Ξ±ΟƒΞΊΞµΞ―:","Ξ™ΞµΟΞ±ΟΟ‡ΞΉΞΊΞ® Ο€ΟΞΏΟƒΟ†Ο…Ξ³Ξ®","Ξ‘Ξ―Ο„Ξ·ΟƒΞ· ΞΈΞµΟΞ±Ο€ΞµΞ―Ξ±Ο‚","Ξ•ΞΉΞ΄ΞΉΞΊΞ® Ο€ΟΞΏΟƒΟ†Ο…Ξ³Ξ®","Ξ ΟΞΏΞ΄ΞΉΞΊΞ±ΟƒΟ„ΞΉΞΊΞ® Ο€ΟΞΏΟƒΟ†Ο…Ξ³Ξ®",3,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
78,"Ξ£Ο„Ξ· Ξ³ΞµΞ½ΞΉΞΊΞ® Ο€ΟΞΏΞΈΞµΟƒΞΌΞ―Ξ± Ο„Ο‰Ξ½ Ο€ΞµΞ½Ξ®Ξ½Ο„Ξ± (50) Ξ·ΞΌΞµΟΟΞ½, ΞΌΞ­ΟƒΞ± ΟƒΟ„Ξ·Ξ½ ΞΏΟ€ΞΏΞ―Ξ± Ξ· Ξ”ΞΉΞΏΞ―ΞΊΞ·ΟƒΞ· ΞΏΟ†ΞµΞ―Ξ»ΞµΞΉ Ξ½Ξ± Ξ΄ΞΉΞµΞΊΟ€ΞµΟΞ±ΞΉΟΞ½ΞµΞΉ Ο…Ο€ΞΏΞΈΞ­ΟƒΞµΞΉΟ‚ Ξ΄ΞΉΞΏΞΉΞΊΞΏΟ…ΞΌΞ­Ξ½Ο‰Ξ½, Ο€ΞµΟΞΉΞ»Ξ±ΞΌΞ²Ξ¬Ξ½ΞΏΞ½Ο„Ξ±ΞΉ ΞΏΞΉ Ο€ΟΞ¬ΞΎΞµΞΉΟ‚ ΞµΟ€Ξ―:","Ξ•Ξ½Ξ΄ΞΉΞΊΞΏΟ†Ξ±Ξ½ΞΏΟΟ‚ Ο€ΟΞΏΟƒΟ†Ο…Ξ³Ξ®Ο‚","Ξ•ΞΉΞ΄ΞΉΞΊΞ®Ο‚ Ο€ΟΞΏΟƒΟ†Ο…Ξ³Ξ®Ο‚","Ξ‘Ο€Ξ»ΟΞ½ Ξ±ΞΉΟ„Ξ®ΟƒΞµΟ‰Ξ½","ΞΞ»ΞµΟ‚ ΞΏΞΉ Ξ»ΞΏΞΉΟ€Ξ­Ο‚ Ξ±Ο€Ξ±Ξ½Ο„Ξ®ΟƒΞµΞΉΟ‚",2,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
79,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΞ® Ο€ΟΞΏΟƒΟ†Ο…Ξ³Ξ® Ξ”Ξ•Ξ Ξ±Ο€ΞΏΟ„ΞµΞ»ΞµΞ―:","Ξ— ΞΉΞµΟΞ±ΟΟ‡ΞΉΞΊΞ®","Ξ— ΞµΞ½Ξ΄ΞΉΞΊΞΏΟ†Ξ±Ξ½Ξ®Ο‚","Ξ— Ξ­Ξ½Ξ΄ΞΉΞΊΞ·","Ξ— ΞµΞΉΞ΄ΞΉΞΊΞ®",2,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
80,"Ξ— ΞΌΞ· Ξ½ΟΞΌΞΉΞΌΞ· ΞΊΞΏΞΉΞ½ΞΏΟ€ΞΏΞ―Ξ·ΟƒΞ· Ο„Ξ·Ο‚ Ξ΄ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΞ®Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚:","Ξ¤Ξ·Ξ½ ΞΊΞ±ΞΈΞΉΟƒΟ„Ξ¬ Ο€Ξ±ΟΞ¬Ξ½ΞΏΞΌΞ·","Ξ”ΞµΞ½ ΞµΟ€Ξ·ΟΞµΞ¬Ξ¶ΞµΞΉ Ο„ΞΏ ΞΊΟΟΞΏΟ‚ Ο„Ξ·Ο‚","Ξ¤Ξ·Ξ½ ΞΊΞ±ΞΈΞΉΟƒΟ„Ξ¬ Ξ¬Ξ»Ξ»ΞΏΟ„Ξµ Ξ½ΟΞΌΞΉΞΌΞ· ΞΊΞ±ΞΉ Ξ¬Ξ»Ξ»ΞΏΟ„Ξµ Ο€Ξ±ΟΞ¬Ξ½ΞΏΞΌΞ·","Ξ¤Ξ·Ξ½ ΞΊΞ±ΞΈΞΉΟƒΟ„Ξ¬ Ξ±Ξ½Ο…Ο€ΟΟƒΟ„Ξ±Ο„Ξ·",1,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
81,"Ξ— ΞΌΞ· Ο€ΟΟ‰Ο„ΞΏΞΊΟΞ»Ξ»Ξ·ΟƒΞ· Ξ΄ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΞ®Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚:","ΞΞ―Ξ³ΞµΞΉ Ο„ΞΏ ΞΊΟΟΞΏΟ‚ Ο„Ξ·Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚","ΞΞ―Ξ³ΞµΞΉ Ο„ΞΏ ΞΊΟΟΞΏΟ‚ Ο„Ξ·Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚ Ξ±Ξ»Ξ»Ξ¬ ΞΌΟ€ΞΏΟΞµΞ― Ξ½Ξ± ΞΈΞµΟΞ±Ο€ΞµΟ…ΞΈΞµΞ― ΞΌΞµ Ο„Ξ· Ξ΄Ξ·ΞΌΞΏΟƒΞ―ΞµΟ…ΟƒΞ· Ο„Ξ·Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚","Ξ¤Ξ·Ο‚ Ο€ΟΞΏΟƒΞ΄Ξ―Ξ΄ΞµΞΉ Ο‡Ξ±ΟΞ±ΞΊΟ„Ξ®ΟΞ± Ο€ΟΞΏΟ€Ξ±ΟΞ±ΟƒΞΊΞµΟ…Ξ±ΟƒΟ„ΞΉΞΊΞ®Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚","Ξ”ΞµΞ½ ΞΈΞ―Ξ³ΞµΞΉ Ο„ΞΏ ΞΊΟΟΞΏΟ‚ Ο„Ξ·Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚, ΞµΞΊΟ„ΟΟ‚ Ξ±Ξ½ ΞΏΟΞ―Ξ¶ΞµΞΉ Ξ¬Ξ»Ξ»Ο‰Ο‚ ΞΏ Ξ½ΟΞΌΞΏΟ‚ Ξ•Ξ½ΟΟ„Ξ·Ο„Ξ±: Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ",3,"Ξ”ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
1,"ΞΞΉ ΞΉΞ΄ΟΟ…Ο„ΞΉΞΊΞ­Ο‚ Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞµΟ‚ Ο„Ξ·Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ ΞµΞ―Ξ½Ξ±ΞΉ:","Ξ— Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ· Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ® ΞΞΏΞΉΞ½ΟΟ„Ξ·Ο„Ξ± (Ξ•ΞΞ) ΞΊΞ±ΞΉ Ξ· Ξ•Ξ½ΞΉΞ±Ξ―Ξ± Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® Ξ ΟΞ¬ΞΎΞ·","ΞΞΉ Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞµΟ‚ Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® ΞΞΏΞΉΞ½ΟΟ„Ξ·Ο„Ξ± Ξ†Ξ½ΞΈΟΞ±ΞΊΞ± ΞΊΞ±ΞΉ Ξ§Ξ¬Ξ»Ο…Ξ²Ξ± (Ξ•ΞΞ‘Ξ§), Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ® ΞΞΏΞΉΞ½ΟΟ„Ξ·Ο„Ξ± (Ξ•ΞΞ) ΞΊΞ±ΞΉ Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® ΞΞΏΞΉΞ½ΟΟ„Ξ·Ο„Ξ± Ξ‘Ο„ΞΏΞΌΞΉΞΊΞ®Ο‚ Ξ•Ξ½Ξ­ΟΞ³ΞµΞΉΞ±Ο‚ (Ξ•ΞΞ‘Ξ•)","ΞΞΉ Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞµΟ‚ Ο„Ξ·Ο‚ Ξ΅ΟΞΌΞ·Ο‚ ΞΊΞ±ΞΉ Ο„Ξ·Ο‚ ΞΞ―ΞΊΞ±ΞΉΞ±Ο‚","Ξ— Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ· Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® ΞΞ½Ο‰ΟƒΞ· (Ξ£Ξ•Ξ•) ΞΊΞ±ΞΉ Ξ· Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ· Ξ³ΞΉΞ± Ο„Ξ· Ξ›ΞµΞΉΟ„ΞΏΟ…ΟΞ³Ξ―Ξ± Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ (Ξ£Ξ›Ξ•Ξ•)",1,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
2,"Ξ— Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® ΞΞ½Ο‰ΟƒΞ·:","Ξ•Ξ―Ξ½Ξ±ΞΉ ΞΊΟΞ¬Ο„ΞΏΟ‚","Ξ•Ξ―Ξ½Ξ±ΞΉ ΞΏΞΌΞΏΟƒΟ€ΞΏΞ½Ξ΄Ξ―Ξ±","Ξ•Ξ―Ξ½Ξ±ΞΉ Ο…Ο€ΞµΟΞµΞΈΞ½ΞΉΞΊΞ® ΞΏΞ½Ο„ΟΟ„Ξ·Ο„Ξ±","ΞΟ‡ΞµΞΉ Ο„ΞΏ Ξ΄ΞΉΞΊΟ Ο„Ξ·Ο‚ Ξ£ΟΞ½Ο„Ξ±Ξ³ΞΌΞ±",2,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
3,"Ξ— Ξ•Ξ»Ξ²ΞµΟ„Ξ―Ξ±, Ξ· Ξ™ΟƒΞ»Ξ±Ξ½Ξ΄Ξ―Ξ± ΞΊΞ±ΞΉ Ξ· ΞΞΏΟΞ²Ξ·Ξ³Ξ―Ξ±:","Ξ•Ξ―Ξ½Ξ±ΞΉ ΞΌΞ­Ξ»Ξ· Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚","Ξ”ΞµΞ½ ΞµΞ―Ξ½Ξ±ΞΉ ΞΌΞ­Ξ»Ξ· Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚, ΞµΞ―Ξ½Ξ±ΞΉ ΟΞΌΟ‰Ο‚ ΞΌΞ­Ξ»Ξ· Ο„Ξ·Ο‚ Ξ¶ΟΞ½Ξ·Ο‚ Ξ£Ξ­Ξ½Ξ³ΞΊΞµΞ½","Ξ”ΞµΞ½ ΞµΞ―Ξ½Ξ±ΞΉ ΞΌΞ­Ξ»Ξ· Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚, ΞµΞ―Ξ½Ξ±ΞΉ ΟΞΌΟ‰Ο‚ ΞΌΞ­Ξ»Ξ· Ο„Ξ·Ο‚ Ξ¶ΟΞ½Ξ·Ο‚ Ο„ΞΏΟ… Ξ•Ο…ΟΟ","Ξ”ΞµΞ½ ΞµΞ―Ξ½Ξ±ΞΉ ΞΌΞ­Ξ»Ξ· ΞΏΟΟ„Ξµ Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚, ΞΏΟΟ„Ξµ Ο„Ξ·Ο‚ Ξ¶ΟΞ½Ξ·Ο‚ Ξ£Ξ­Ξ½Ξ³ΞΊΞµΞ½, ΞΏΟΟ„Ξµ Ο„Ξ·Ο‚ Ξ¶ΟΞ½Ξ·Ο‚ Ο„ΞΏΟ… Ξ•Ο…ΟΟ",1,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
4,"Ξ ΞΏΞΉΞΏΟ‚ ΞµΞ―Ξ½Ξ±ΞΉ ΞΏ ΞµΞ»Ξ¬Ο‡ΞΉΟƒΟ„ΞΏΟ‚ Ξ±ΟΞΉΞΈΞΌΟΟ‚ ΞΊΟΞ±Ο„ΟΞ½-ΞΌΞµΞ»ΟΞ½ Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ Ξ³ΞΉΞ± Ο„Ξ·Ξ½ ΞΊΞ±ΞΈΞΉΞ­ΟΟ‰ΟƒΞ· ΞµΞ½ΞΉΟƒΟ‡Ο…ΞΌΞ­Ξ½Ξ·Ο‚ ΟƒΟ…Ξ½ΞµΟΞ³Ξ±ΟƒΞ―Ξ±Ο‚;","Ξ”ΞµΞΊΞ±Ο„Ξ­ΟƒΟƒΞµΟΞ± (14)","Ξ•Ξ½Ξ½Ξ­Ξ± (9)","Ξ Ξ­Ξ½Ο„Ξµ (5)","Ξ¤Ξ­ΟƒΟƒΞµΟΞ± (4)",1,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
