#,question,a,b,c,d,correct_answer,category
19,Η αρχή της αναλογικότητας:,Προβλέπεται στο Σύνταγμα,"Δεν προβλέπεται στο Σύνταγμα, αλλά συνάγεται από τη νομολογία",Ταυτίζεται με την αρχή της δικαιολογημένης εμπιστοσύνης,Ταυτίζεται με την αρχή του κράτους δικαίου,0,Συνταγματικό Δίκαιο
20,Ποια είναι η ευθύνη του/της Προέδρου της Δημοκρατίας κατά τη διάρκεια της θητείας του/της;,"Μόνο για έσχατη προδοσία ή παραβίαση, με πρόθεση, του Συντάγματος",Για όλες τις πράξεις που έχει ενεργήσει κατά την άσκηση των καθηκόντων του/της,Για πράξεις που δεν σχετίζονται με την άσκηση των καθηκόντων,Ίδια με την ευθύνη του/της Πρωθυπουργού και των Υπουργών,0,Συνταγματικό Δίκαιο
21,Πόσο διαρκεί η βουλευτική περίοδος;,Πέντε (5) χρόνια,Τέσσερα (4) χρόνια,Έξι (6) χρόνια,Τρία (3) χρόνια,1,Συνταγματικό Δίκαιο
22,Το Σύνταγμά μας προβλέπει ρητά:,Την αρμοδιότητα των κεντρικών οργάνων του κράτους για την επιβολή πειθαρχικών ποινών στους/στις αιρετούς/ές της τοπικής αυτοδιοίκησης,Την εγκατάσταση και λειτουργία αποκεντρωμένων οργάνων του κράτους μόνο στις περιοχές όπου αυτό κρίνεται απαραίτητο,Τη γενική αποφασιστική αρμοδιότητα των περιφερειακών οργάνων του Κράτους για τις υποθέσεις της περιφέρειάς τους,Την πρόσθετη οικονομική ενίσχυση των ορεινών δήμων από τον κρατικό προϋπολογισμό,2,Συνταγματικό Δίκαιο
23,Το εκλογικό σύστημα είναι:,Ο μηχανισμός μετατροπής των ψήφων σε βουλευτικές έδρες,Η προεκλογική στρατηγική των κομμάτων,Ο τρόπος ανακήρυξης των βουλευτών,Το ψηφοδέλτιο κάθε κόμματος,0,Συνταγματικό Δίκαιο
24,"Μια Κυβέρνηση θεωρείται ότι έχει την εμπιστοσύνη της Βουλής, όταν:",Ψηφίζονται τα νομοσχέδια που προτείνει,Ψηφίζεται ο προϋπολογισμός,Στη διαδικασία ψήφου εμπιστοσύνης υπερψηφίζεται από την πλειοψηφία των παρόντων,Στη διαδικασία ψήφου εμπιστοσύνης υπερψηφίζεται από την απόλυτη πλειοψηφία των παρόντων βουλευτών που δεν πρέπει να είναι μικρότερη από 120 βουλευτές,3,Συνταγματικό Δίκαιο
25,Η Κυβέρνηση:,Διορίζει τους δημοσίους υπαλλήλους,Κατευθύνει τη γενική πολιτική της χώρας,Διορίζει τους δικαστές,Υποβάλλει ερωτήσεις στη Βουλή,1,Συνταγματικό Δίκαιο
26,Ποιος έχει δικαίωμα απονομής χάρης σε Υπουργό;,O/Η Πρόεδρος της Δημοκρατίας μόνο με τη συγκατάθεση της Bουλής,Ο/Η Πρόεδρος της Βουλής,Ο/Η Πρωθυπουργός,Η απόλυτη πλειοψηφία των μελών της Βουλής,0,Συνταγματικό Δίκαιο
27,Πώς γίνεται η νομοθέτηση σε περιόδους πολέμου;,Με δημοψήφισμα,Με πράξεις νομοθετικού περιεχομένου,Με την κανονική νομοπαραγωγική διαδικασία,Με υπουργικές αποφάσεις,1,Συνταγματικό Δίκαιο
28,"Σύμφωνα με την αρχή της διάκρισης των εξουσιών (άρθρο 26 Συντ.), η νομοθετική λειτουργία ασκείται:",Από τη Βουλή,Από τον/την Πρόεδρο της Δημοκρατίας,Από την Κυβέρνηση,Από τη Βουλή και τον/την Πρόεδρο της Δημοκρατίας,3,Συνταγματικό Δίκαιο
29,"Εάν παραιτηθεί ή πεθάνει, τον/την Πρόεδρο της Δημοκρατίας αναπληρώνει:",Ο/Η Πρωθυπουργός,Ο/Η Πρόεδρος της Βουλής,Ο/Η Πρόεδρος του Συμβουλίου της Επικρατείας,Ο/Η Αντιπρόεδρος της Κυβέρνησης,1,Συνταγματικό Δίκαιο
30,Οι σύνοδοι της Βουλής διακρίνονται σε:,"Τακτικές, έκτακτες και ειδικές","Μόνιμες, διαρκείς και ειδικές",Τακτικές και θερινές,Κανονικές και έκτακτες,0,Συνταγματικό Δίκαιο
31,"Εάν η Κυβέρνηση, μολονότι έχει την εμπιστοσύνη της απόλυτης πλειοψηφίας των βουλευτών, παραιτηθεί, ο/η Πρόεδρος της Δημοκρατίας:",Δίδει τη διερευνητική εντολή στον/στην αρχηγό του δεύτερου κόμματος,Προκηρύσσει εκλογές,Ζητά από την κοινοβουλευτική ομάδα της απερχόμενης Κυβέρνησης να υποδείξει νέο πρόσωπο για το αξίωμα του πρωθυπουργού,Καλεί τους/τις αρχηγούς των κομμάτων της Βουλής για να διερευνήσει εάν μπορεί να σχηματιστεί Κυβέρνηση που να απολαμβάνει την εμπιστοσύνη της Βουλής,3,Συνταγματικό Δίκαιο
32,Ο/Η Πρόεδρος της Δημοκρατίας εκλέγεται:,Από τον λαό,Από τη Βουλή με 180 ψήφους στην πρώτη ψηφοφορία,Από τη Βουλή με 151 ψήφους στη δεύτερη ψηφοφορία,Καμία από τις λοιπές απαντήσεις,3,Συνταγματικό Δίκαιο
33,Ο προεδρευόμενος χαρακτήρας του πολιτεύματος συνίσταται στο ότι:,Ο/Η Πρόεδρος της Δημοκρατίας δεν έχει πολιτική ευθύνη,Ο/Η Πρόεδρος της Δημοκρατίας δεν εκλέγεται από τον λαό,Ο/Η Πρόεδρος της Δημοκρατίας είναι αιρετός/ή και όχι κληρονομικός/ή,Το πολίτευμα είναι κοινοβουλευτικό,2,Συνταγματικό Δίκαιο
34,Τα κανονιστικά διατάγματα:,Εκδίδονται σε περιπτώσεις εξαιρετικά επείγουσας και απρόβλεπτης ανάγκης,Εκδίδονται μετά από εξουσιοδότηση νόμου για τεχνικά και λεπτομερειακά θέματα,Υπόκεινται σε προληπτικό έλεγχο νομιμότητας εκ μέρους του Συμβουλίου της Επικρατείας,Έχουν ισχύ για σαράντα μέρες από την έκδοσή τους,2,Συνταγματικό Δίκαιο
35,Για την αναθεώρηση του Συντάγματος απαιτείται:,Αυξημένη πλειοψηφία 180 ψήφων είτε στην προτείνουσα είτε στην αναθεωρητική Βουλή,Πρόταση αναθεώρησης που υπερψηφίζεται από 180 βουλευτές,Δημοψήφισμα,Πρωτοβουλία της Κυβέρνησης,0,Συνταγματικό Δίκαιο
36,Οι βουλευτές επικρατείας:,Εκλέγονται από τους Έλληνες και τις Ελληνίδες του εξωτερικού,Δεν δύνανται να ξεπερνούν τους 15,Εκλέγονται με σταυρό προτίμησης,Εκλέγονται με βάση τη δύναμη του πρώτου κόμματος στην επικράτεια,1,Συνταγματικό Δίκαιο
37,Το Σύνταγμα του 1975 έχει αναθεωρηθεί:,Τρεις φορές,Τέσσερις φορές,Πέντε φορές,Δύο φορές,1,Συνταγματικό Δίκαιο
38,Το Σύνταγμα:,Έχει υπέρτερη ισχύ από τον τυπικό νόμο,Έχει την ίδια ισχύ με τον τυπικό νόμο,Είναι κατώτερο από τον τυπικό νόμο,Έχει την ίδια ισχύ με το διεθνές δίκαιο,0,Συνταγματικό Δίκαιο
39,Οι συνθήκες του πολιτεύματος είναι:,Γραπτοί συνταγματικοί κανόνες που κατοχυρώθηκαν μετά από εθιμική τήρησή τους,Άγραφοι κανόνες λειτουργίας του πολιτεύματος,Διεθνείς συνθήκες που δεσμεύουν τα πολιτικά όργανα,Τυπικοί νόμοι,1,Συνταγματικό Δίκαιο
40,Οι βουλευτές:,Δεν έχουν ποινική ευθύνη,Δεν έχουν δικαίωμα παραίτησης,Εκλέγονται μόνο για δύο θητείες,Διατηρούν την έδρα τους σε περίπτωση διαγραφής τους από το κόμμα,3,Συνταγματικό Δίκαιο
41,Η διαδικασία για την εκλογή του/της Προέδρου της Δημοκρατίας:,"Αναστέλλεται, εφόσον δεν υπάρχει συναίνεση των κομμάτων","Αποσυνδέθηκε από τη διάλυση της Βουλής, με την αναθεώρηση του 2008",Περιλαμβάνει τη δυνατότητα 5 διαδοχικών ψηφοφοριών μέχρι την εκλογή,Ελέγχεται δικαστικά από το ΑΕΔ (Ανώτατο Ειδικό Δικαστήριο),2,Συνταγματικό Δίκαιο
42,Το Σύνταγμα:,Επιτρέπει να σχηματιστεί Κυβέρνηση μειοψηφίας,Απαγορεύει την Κυβέρνηση μειοψηφίας,"Απαγορεύει την παραίτηση της Κυβέρνησης, αν δεν υπάρχει λόγος εθνικής σημασίας",Δεν επιτρέπει τις Κυβερνήσεις συνεργασίας,0,Συνταγματικό Δίκαιο
43,Η κοινοβουλευτική αρχή σημαίνει ότι:,Ο/Η Πρόεδρος της Δημοκρατίας διορίζει την Κυβέρνηση,Ο/Η Πρωθυπουργός διορίζει την Κυβέρνηση,Η Κυβέρνηση εξαρτάται από την εμπιστοσύνη της Βουλής,Οι βουλευτές αντιπροσωπεύουν το έθνος,2,Συνταγματικό Δίκαιο
44,Η δημοκρατία στην Ελλάδα είναι:,Άμεση,Αντιπροσωπευτική,Προεδρική,Ημι-προεδρική,1,Συνταγματικό Δίκαιο
45,Η παραίτηση του/της Πρωθυπουργού επιφέρει σε κάθε περίπτωση:,Την παραίτηση της Κυβέρνησης,Τη διενέργεια εκλογών για την ανάδειξη νέας Κυβέρνησης,Τη διάλυση της Βουλής,Την αλλαγή ηγεσίας στο κόμμα του/της,0,Συνταγματικό Δίκαιο
46,Ο προληπτικός έλεγχος της συνταγματικότητας των νόμων ασκείται:,Από τα δικαστήρια,Από τη διοίκηση,Από τον/την Πρόεδρο της Βουλής,Από τη Βουλή και τον/την Πρόεδρο της Δημοκρατίας,3,Συνταγματικό Δίκαιο
47,To διεθνές δίκαιο είναι:,Ανώτερο από τον τυπικό νόμο,Κατώτερο από τον τυπικό νόμο,Ανώτερο από το Σύνταγμα,Ισόκυρο με το Σύνταγμα,0,Συνταγματικό Δίκαιο
48,Η αναστολή της ισχύος συνταγματικών δικαιωμάτων:,Προβλέπεται στο άρθρο 48 του Συντάγματος,Δεν είναι συνταγματικά επιτρεπτή,Εφαρμόστηκε στην πανδημία και την οικονομική κρίση,Είναι υπερσυνταγματικός κανόνας,0,Συνταγματικό Δίκαιο
49,Η διαπίστωση της ανάγκης αναθεώρησης του Συντάγματος αρχίζει με πρόταση:,Τουλάχιστον 50 βουλευτών,Της απόλυτης πλειοψηφίας του συνολικού αριθμού των βουλευτών,Της σχετικής πλειοψηφίας του συνολικού αριθμού των βουλευτών,Της ειδικής αυξημένης πλειοψηφίας των 3/5 του συνολικού αριθμού των βουλευτών,0,Συνταγματικό Δίκαιο
50,Κατά τη διάρκεια θρησκευτικής λατρευτικής πράξης εντός θρησκευτικού χώρου:,Επιτρέπεται η σύλληψη και η καταδίωξη προσώπου,Δεν επιτρέπεται η σύλληψη και η καταδίωξη προσώπου,Επιτρέπεται μόνο η σύλληψη,Επιτρέπεται μόνο η καταδίωξη,1,Συνταγματικό Δίκαιο
51,Μέλη της Κυβέρνησης με την ευρεία έννοια αποτελούν:,"Ο/Η Πρωθυπουργός, οι Υπουργοί, οι Υφυπουργοί και οι Βουλευτές του κυβερνώντος κόμματος","Ο/Η Πρόεδρος της Δημοκρατίας, ο/η Πρωθυπουργός, οι Υπουργοί και οι Υφυπουργοί",Το Υπουργικό Συμβούλιο και οι Υφυπουργοί,Ο/Η Πρωθυπουργός και το Υπουργικό Συμβούλιο,2,Συνταγματικό Δίκαιο
52,"Τον/Την Πρωθυπουργό αναπληρώνει, σε περίπτωση πρόσκαιρης απουσίας ή κωλύματός του/της:",Ο/Η Πρόεδρος της Βουλής,Ο/Η Υπουργός Εσωτερικών,Ο/Η πρώτος/η κατά τη σειρά τάξης Υπουργός,Ο/Η Πρόεδρος της Δημοκρατίας,2,Συνταγματικό Δίκαιο
53,Ο έλεγχος της συνταγματικότητας των νόμων:,Ασκείται μόνο εντός ενός έτους από την έναρξη ισχύος ενός νόμου,Ασκείται από τα δικαστήρια μόνο εφόσον προηγηθεί σχετικός ισχυρισμός του διαδίκου,Ασκείται από τα δικαστήρια μόνο αυτεπαγγέλτως,Ασκείται από τα δικαστήρια είτε αυτεπαγγέλτως είτε κατόπιν σχετικού ισχυρισμού του διαδίκου,3,Συνταγματικό Δίκαιο
54,Τα δικαστήρια μπορούν να ακυρώσουν:,Ατομικές και κανονιστικές πράξεις της διοίκησης,Μόνον τις ατομικές διοικητικές πράξεις,Τους αντισυνταγματικούς νόμους,Την προκήρυξη των εκλογών,0,Συνταγματικό Δίκαιο
55,Το Ανώτατο Ειδικό Δικαστήριο:,Ελέγχει την εσωτερική τυπική συνταγματικότητα των νόμων,Δικάζει τους υπουργούς,Ελέγχει τη νομιμότητα των πολιτικών κομμάτων,Δικάζει τις εκλογικές ενστάσεις,3,Συνταγματικό Δίκαιο
56,Οι δικαστές είναι:,Μόνιμοι/ες,Ισόβιοι/ες,Έχουν θητεία εννέα ετών που δύναται να ανανεωθεί μία φορά,Απαραβίαστοι,1,Συνταγματικό Δίκαιο
57,O/Η Αντιπρόεδρος της Κυβέρνησης:,Δεν αποτελεί μέλος του Υπουργικού Συμβουλίου,Αποτελεί μέλος του Υπουργικού Συμβουλίου,Δεν αποτελεί μέλος της Κυβέρνησης εν στενή εννοία,"Αποτελεί μέλος της Κυβέρνησης εν στενή εννοία, μόνον όταν ασκεί παράλληλα και τα καθήκοντα του/της Υπουργού",1,Συνταγματικό Δίκαιο
58,Η προσφυγή στο Ευρωπαϊκό Δικαστήριο των Δικαιωμάτων του Ανθρώπου προϋποθέτει τυπικά ότι:,Ότι έχει παραβιαστεί συνταγματικό δικαίωμα,Ότι έχει παραβιαστεί η διάκριση των εξουσιών,Ότι έχουν εξαντληθεί τα εσωτερικά ένδικα μέσα,Ότι ο προσφεύγων/ουσα είναι Έλληνας/ίδα πολίτης,2,Συνταγματικό Δίκαιο
59,Ο ισχύων καταστατικός χάρτης της χώρας:,"Εγγυάται την εκλογή των δημοτικών και περιφερειακών αρχών με άμεση, καθολική και μυστική ψηφοφορία – όπως ισχύει και στην περίπτωση των βουλευτών",Εγγυάται την εκλογή των δημοτικών και περιφερειακών αρχών με καθολική και μυστική ψηφοφορία,"Εγγυάται την εκλογή των δημοτικών και περιφερειακών αρχών με έμμεση, καθολική και μυστική ψηφοφορία","Δεν περιλαμβάνει πρόνοια για την εκλογή των δημοτικών και περιφερειακών αρχών, αλλά τα σχετικά με αυτήν ρυθμίζονται στον νόμο",1,Συνταγματικό Δίκαιο
60,Πώς επιλέγονται τα μέλη των συνταγματικά κατοχυρωμένων ανεξάρτητων διοικητικών αρχών;,Με απόφαση της Διάσκεψης των Προέδρων της Βουλής που  λαμβάνεται με πλειοψηφία των 3/5 των μελών της,Με απόφαση της Διάσκεψης των Προέδρων της Βουλής που λαμβάνεται με πλειοψηφία των 4/5 των μελών της,Με απόφαση του Υπουργικού Συμβουλίου,Με απόφαση των 2/3 των μελών της Βουλής,0,Συνταγματικό Δίκαιο
61,Οι αποκεντρωμένες διοικήσεις:,Δεν ανήκουν στο νομικό πρόσωπο του κράτους,Συνιστούν την κατά τόπον αυτοδιοίκηση,Υπόκεινται σε ιεραρχικό έλεγχο,Δεν συνιστούν κρατικές υπηρεσίες,2,Συνταγματικό Δίκαιο
62,Με τη συνταγματική αναθεώρηση του 2001 εισήχθη στο Σύνταγμα:,Ο έλεγχος συνταγματικότητας των νόμων μόνον από την Ολομέλεια των ανωτάτων δικαστηρίων,Η αρχή της δεδηλωμένης,Ο θεσμός των ανεξαρτήτων αρχών,Ο θεσμός της απαγόρευσης αντιδημοκρατικών κομμάτων Ενότητα: Διοικητικό Δίκαιο,2,Συνταγματικό Δίκαιο
1,ΔΕΝ αποτελεί γενική αρχή του Διοικητικού Δικαίου:,Η χρηστή διοίκηση,Η χρονική προτεραιότητα,Η προστατευομένη εμπιστοσύνη του/της  διοικουμένου/ης,Η αμεροληψία των οργάνων της διοίκησης,1,Διοικητικό Δίκαιο
2,Οι γενικές αρχές διοικητικού δικαίου:,Είναι διατυπωμένες σε συγκεκριμένο συνταγματικό κείμενο,Είναι θεωρητικές κατασκευές προς υποβοήθηση της έρευνας της διοικητικής επιστήμης,Προκύπτουν από το σύνολο της νομοθεσίας που ρυθμίζει θέματα οργάνωσης και λειτουργίας των διοικητικών οργάνων,Προκύπτουν μόνο από το σύνολο της νομολογίας των διοικητικών δικαστηρίων,2,Διοικητικό Δίκαιο
3,Συντελείται παράλειψη οφειλόμενης νόμιμης ενέργειας του διοικητικού οργάνου στην περίπτωση:,Παράλειψης του διοικητικού οργάνου να αποφανθεί επί διοικητικής προσφυγής,"Όταν το διοικητικό όργανο δεν εκδίδει πράξη, ως επιτάσσεται κατά τις οικείες διατάξεις",Σιωπηρής άρνησης της διοίκησης να ανακαλέσει παράνομη πράξη ενώ δεν προβλέπεται σχετική υποχρέωση ανάκλησης.,Ρητής ή σιωπηρής άρνησης του ενεργούντος κατά διακριτική ευχέρεια διοικητικού οργάνου.,1,Διοικητικό Δίκαιο
4,Ανακλητική διοικητική πράξη εκδίδει:,Το όργανο που την εξέδωσε ή που είναι αρμόδιο κατά το χρόνο έκδοσης της ανακλητικής πράξης,Το συγκεκριμένο φυσικό πρόσωπο του οποίου την υπογραφή φέρει η ανακαλούμενη πράξη,Ειδικά συνεστημένο όργανο προς το σκοπό αυτό,Ιεραρχικά ανώτερο όργανο από το όργανο που εξέδωσε την ανακαλούμενη πράξη,0,Διοικητικό Δίκαιο
5,Η ισχύς διοικητικής πράξης λήγει:,Όταν παρέλθει η προθεσμία ισχύος της,Όταν εκλείψει το αντικείμενο ρύθμισης της πράξης,Όταν ανακληθεί η πράξη και η ανάκληση ενεργεί για το μέλλον,Όλες οι λοιπές απαντήσεις,3,Διοικητικό Δίκαιο
6,"Κανονιστικού χαρακτήρα πράξη, για την οποία δεν τηρήθηκαν οι απαιτούμενες διατυπώσεις δημοσιότητας στην Εφημερίδα της Κυβερνήσεως:",Αποκτά χαρακτήρα ατομικής πράξης,Λογίζεται ως ατομική πράξη γενικού περιεχομένου,Έχει νόμιμη υπόσταση,Είναι ανυπόστατη,3,Διοικητικό Δίκαιο
7,"Διοικητική πράξη, η οποία εκδίδεται χωρίς νέα ουσιαστική έρευνα των πραγματικών δεδομένων, με την οποία δηλώνεται η εμμονή της Διοίκησης σε προγενέστερη πράξη της είναι:",Διαπιστωτική,Εκτελεστή,Βεβαιωτική,Συστατική,2,Διοικητικό Δίκαιο
8,"Πράξη αναρτητέα στο Πρόγραμμα «ΔΙΑΥΓΕΙΑ», που δεν είναι κατά νόμο δημοσιευτέα στην Εφημερίδα της Κυβερνήσεως:",Δεν ισχύει μέχρι την ανάρτησή της στο «ΔΙΑΥΓΕΙΑ»,Ισχύει από την έκδοσή της,Ισχύει από την έκδοσή της αρκεί ακολούθως να τηρηθεί ο συγκεκριμένος τύπος δημοσιότητας περί αναρτήσεως στο «ΔΙΑΥΓΕΙΑ»,Η ισχύς της δεν συνδέεται με την ανάρτηση ή μη της πράξης στο «ΔΙΑΥΓΕΙΑ»,0,Διοικητικό Δίκαιο
9,Η παράλειψη ή η πλημμελής κοινοποίηση ατομικής διοικητικής πράξης στον διοικούμενο:,Επάγεται την ακυρότητα της πράξης,Αποτελεί παράβαση ουσιώδους τύπου της διαδικασίας,Επηρεάζει το κύρος της και δεν παράγει έννομα αποτελέσματα,Επηρεάζει μόνο την έναρξη της προθεσμίας προσβολής της με τα ένδικα μέσα ή τις ενδικοφανείς προσφυγές που τυχόν προβλέπονται,3,Διοικητικό Δίκαιο
10,Τρόπος δημοσίευσης στην Εφημερίδα της Κυβερνήσεως των κανονιστικών διοικητικών πράξεων:,Με απλή αναφορά των κύριων στοιχείων της.,Με δημοσίευση κειμένου περίληψης αυτών.,Με αυτούσια δημοσίευσή τους.,Όλες οι λοιπές απαντήσεις,2,Διοικητικό Δίκαιο
11,Χρήζει κατά το Σύνταγμα αιτιολογίας:,Η επιλογή προσώπων στην ηγεσία της Δικαιοσύνης,Η επιλογή στις θέσεις Προέδρου και Αντιπροέδρων του Νομικού Συμβουλίου του Κράτους,Η απάντηση των διοικητικών αρχών σε υποβληθείσες κατά το άρθρο 10 του Συντάγματος αναφορές,Ο διορισμός και η παύση των ανώτατων διοικητικών υπαλλήλων που κατέχουν θέσεις εκτός υπαλληλικής ιεραρχίας,2,Διοικητικό Δίκαιο
12,"Τα έγγραφα εσωτερικής λειτουργίας, με τα οποία διαβιβάζονται δικαιολογητικά μεταξύ δημόσιων υπηρεσιών, προκειμένου να εξεταστεί αίτημα διοικουμένου/ης:",Συνιστούν εκτελεστές πράξεις της Διοίκησης,Συνιστούν ενδιάμεσες εκτελεστές πράξεις της Διοίκησης που ενσωματώνονται στην τελική πράξη,Αποτελούν προϋπόθεση σύννομης έκδοσης διοικητικής πράξης,Δεν συνιστούν εκτελεστές διοικητικές πράξεις,3,Διοικητικό Δίκαιο
13,Στην περίπτωση απώλειας φακέλου διοικουμένου/ης με υπαιτιότητα της δημόσιας υπηρεσίας:,Οι προθεσμίες διεκπεραίωσης της υπόθεσης αναστέλλονται μέχρι την τελική ανασύσταση του φακέλου,Οι προθεσμίες τελικής διεκπεραίωσης της υπόθεσης συνεχίζουν κανονικά,Καθίσταται αδύνατη η διεκπεραίωση της υπόθεσης και ο/η διοικούμενος/η δύναται να αιτηθεί αποζημιώσεως,Οι προθεσμίες τελικής διεκπεραίωσης της υπόθεσης αναστέλλονται μέχρι την ολοκλήρωση της διαδικασίας αναζήτησης πειθαρχικών ευθυνών των υπαλλήλων της υπηρεσίας,0,Διοικητικό Δίκαιο
