#,question,a,b,c,d,correct_answer,category
48,Η αναθεώρηση του 2001:,Ήταν η πιο εκτενής από όλες τις αναθεωρήσεις του Συντάγματος του 1975,Κατήργησε τις «υπερεξουσίες» του/της Προέδρου της Δημοκρατίας,Άλλαξε το πολίτευμα σε «πρωθυπουργοκεντρικό»,Ολοκληρώθηκε σε μια και μόνο Βουλή,0,Συνταγματικό Δίκαιο
49,Ποιος ασκεί αδέσμευτη νομικά εξουσία;,Η συντακτική βουλή ή εθνοσυνέλευση,Η Ευρωπαϊκή Επιτροπή,Ο/Η Πρόεδρος της Δημοκρατίας,Η Βουλή,0,Συνταγματικό Δίκαιο
50,Η εκτελεστική λειτουργία ασκείται:,Από την Κυβέρνηση και τον/την Πρόεδρο της Δημοκρατίας,Από τη Βουλή,Μόνο από την Κυβέρνηση,Από τον/την Πρόεδρο της Δημοκρατίας,0,Συνταγματικό Δίκαιο
51,"Στη Βουλή και την Κυβέρνηση, η οποία διαθέτει την πλειοψηφία σε αυτήν, μεταφέρθηκαν ορισμένες από τις ρυθμιστικές αρμοδιότητες του/της Προέδρου της Δημοκρατίας που αφαιρέθηκαν με τη συνταγματική αναθεώρηση του/της:",1975,1986,2001,2019,1,Συνταγματικό Δίκαιο
52,"Ο/Η Πρόεδρος της Δημοκρατίας, με:","Πρόταση του/της Πρωθυπουργού, διορίζει και παύει τα λοιπά μέλη της Κυβέρνησης και τους/τις Υφυπουργούς","Πρόταση του/της αρμόδιου/ας Υπουργού, διορίζει και παύει τους/τις Υφυπουργούς","Κοινή πρόταση του/της Πρωθυπουργού και του/της καθ’ ύλην αρμόδιου/ας Υπουργού, διορίζει και παύει τους/τις Γενικούς/ές και Ειδικούς/ές Γραμματείς των υπουργείων","Κοινή πρόταση του/της Πρωθυπουργού και του/της οικείου/ας Υπουργού, διορίζει και παύει τους/τις Υφυπουργούς",0,Συνταγματικό Δίκαιο
53,Η δικαστική λειτουργία ασκείται:,Από τον/την Πρόεδρο της Δημοκρατίας,Από τα δικαστήρια,Από τον/την Προέδρο της Δημοκρατίας και τα δικαστήρια,Από τους/τις δικαστές και τους/τις ενόρκους,1,Συνταγματικό Δίκαιο
54,Ο δικαστικός έλεγχος της συνταγματικότητας των νόμων είναι:,Διάχυτος και παρεμπίπτων,Μεθοδικός και αυστηρός,Προληπτικός,Αφηρημένος,0,Συνταγματικό Δίκαιο
55,Τα δικαστήρια υποχρεούνται να μην εφαρμόζουν νόμο:,Αντίθετο προς το Σύνταγμα κατά το περιεχόμενό του,Που ψηφίστηκε με αντισυνταγματική διαδικασία,Αντίθετο προς το δημόσιο συμφέρον,Που είχε ψηφιστεί πριν τη θέση σε ισχύ του Συντάγματος του 1975,0,Συνταγματικό Δίκαιο
56,Το Ανώτατο Ειδικό Δικαστήριο δύναται:,Να κηρύξει ανίσχυρο τον αντισυνταγματικό νόμο,Να μην εφαρμόσει τον αντισυνταγματικό νόμο,Να ακυρώσει κανονιστική πράξη,Να γνωμοδοτεί προς τη Βουλή για ζητήματα συνταγματικότητας,0,Συνταγματικό Δίκαιο
57,Ο έλεγχος της συνταγματικότητας από δημοσίους υπαλλήλους:,Απαγορεύεται σε κάθε περίπτωση,Ανήκει μόνο στους/στις προϊσταμένους/ες τους,Προϋποθέτει άδεια του/της προϊσταμένου/ης τους,"Είναι υποχρεωτικός, όταν μία διάταξη είναι προδήλως αντίθετη προς το Σύνταγμα",3,Συνταγματικό Δίκαιο
58,Για να διοριστεί κάποιος/α σε θέση στη δημόσια διοίκηση πρέπει:,Να είναι κάτοχος τουλάχιστον απολυτηρίου Λυκείου,Να μην έχει καταδικαστεί σε οποιαδήποτε αδίκημα,Να είναι Έλληνας/ίδα πολίτης και να έχει συμπληρώσει το 20ο έτος ηλικίας,Να είναι Έλληνας/ίδα πολίτης ή πολίτης χώρας της Ευρωπαϊκής Ένωσης,3,Συνταγματικό Δίκαιο
59,Η σχετική με τη διοικητική αποκέντρωση συνταγματική διάταξη:,Θεσπίζει έναν βαθμό διοικητικής αποκέντρωσης,Δεν θέτει περιορισμό ως προς τον αριθμό των βαθμών διοικητικής αποκέντρωσης,"Θεσπίζει ρητά έναν βαθμό διοικητικής αποκέντρωσης, αλλά δεν αποκλείει τη δυνατότητα νομοθετικής πρόβλεψης και δεύτερου","Θεσπίζει ρητά έναν βαθμό διοικητικής αποκέντρωσης, αλλά δεν αποκλείει τη δυνατότητα νομοθετικής πρόβλεψης και άλλων",1,Συνταγματικό Δίκαιο
60,Πόσες συνταγματικά κατοχυρωμένες ανεξάρτητες αρχές υπάρχουν;,Πέντε (5),Επτά (7),Τέσσερις (4),Τρεις (3),0,Συνταγματικό Δίκαιο
61,"Σύμφωνα με το Σύνταγμα, οι αρχές των οργανισμών τοπικής αυτοδιοίκησης εκλέγονται με:",Επιστολική ψήφο,Άμεση ψηφοφορία,Καθολική και μυστική ψηφοφορία,Τη συμμετοχή όλων των κατοίκων της περιφέρειάς τους,2,Συνταγματικό Δίκαιο
62,Η υπουργική προσυπογραφή των Προεδρικών Διαταγμάτων συνεπάγεται ότι:,Η Κυβέρνηση αναλαμβάνει την πολιτική ευθύνη,"Η Κυβέρνηση ελέγχει τον/την Πρόεδρο της Δημοκρατίας, ώστε εκείνος/η να μην υπερβεί τα όρια των εξουσιών του/της",Η Κυβέρνηση συναποφασίζει με τον/την Πρόεδρο της Δημοκρατίας,Η Κυβέρνηση αναλαμβάνει την ποινική ευθύνη,0,Συνταγματικό Δίκαιο
63,Το Εθνικό Συμβούλιο Ραδιοτηλεόρασης είναι:,Ανεξάρτητη αρχή,Υπηρεσία της ΕΡΤ,Μόνον νομοθετικά κατοχυρωμένο,Η υπουργική υπηρεσία αδειοδότησης των τηλεοπτικών σταθμών Ενότητα: Διοικητικό Δίκαιο,0,Συνταγματικό Δίκαιο
1,Αποτελεί πηγή του διοικητικού δικαίου:,Το διοικητικό έθιμο,Οι γενικές αρχές του διοικητικού δικαίου,Το Σύνταγμα,Όλες οι λοιπές απαντήσεις,3,Διοικητικό Δίκαιο
2,Κανόνες θεσπιζόμενοι με νομοθετικές πράξεις είναι υπέρτερης τυπικής ισχύος:,Των ατομικών διοικητικών πράξεων γενικού περιεχομένου,Των κανόνων δικαίου της Ευρωπαϊκής Ένωσης,"Των διεθνών συμβάσεων, οι οποίες κυρώθηκαν με νομοθετικές πράξεις",Των κανόνων του Συντάγματος,0,Διοικητικό Δίκαιο
3,Διοικητική πράξη που φέρει νομική πλημμέλεια:,Δεν είναι εκτελεστή μέχρι να επανεκδοθεί χωρίς νομική πλημμέλεια,Είναι εκτελεστή μέχρι την ακύρωσή της με δικαστική απόφαση ή με διοικητική πράξη,Δεν είναι εκτελεστή,Είναι ή δεν είναι εκτελεστή ανάλογα με το είδος της πράξεως,3,Διοικητικό Δίκαιο
4,Δημοσίευση μη δημοσιευτέας ατομικής διοικητικής πράξης:,Καθιστά την πράξη άκυρη,Δεν δημιουργεί νομικό ελάττωμά της,Της προσδίδει χαρακτήρα κανονιστικής πράξης,Την καθιστά ανυπόστατη,1,Διοικητικό Δίκαιο
5,"Οι κανονιστικές πράξεις, αν δεν ορίζεται αλλιώς στις διατάξεις νόμου:",Χρήζουν απλής αιτιολογίας,Δεν χρήζουν αιτιολογίας,Χρήζουν αιτιολογίας ανάλογα με το πεδίο ρύθμισής τους,"Χρήζουν σαφούς, ειδικής και εμπεριστατωμένης αιτιολογίας",1,Διοικητικό Δίκαιο
6,Ανάκληση δυσμενών παράνομων ατομικών διοικητικών πράξεων:,Επιτρέπεται χωρίς χρονικούς περιορισμούς,Δεν επιτρέπεται,Επιτρέπεται μόνο στην περίπτωση μη παρέλευσης του εύλογου χρόνου,Μόνο από ιεραρχικά ανώτερο όργανο από εκείνο που εξέδωσε την ανακαλούμενη πράξη,0,Διοικητικό Δίκαιο
7,Ανάκληση ανακλητικής πράξης εκ μέρους της Διοίκησης:,Δεν επιτρέπεται,Είναι επιτρεπτή,Είναι επιτρεπτή αλλά δεν παράγει κανένα έννομο αποτέλεσμα,Είναι επιτρεπτή εάν προβλέπεται ρητά στα πλαίσια άσκησης διοικητικής εποπτείας,1,Διοικητικό Δίκαιο
8,Στην περίπτωση εξαφάνισης μιας διοικητικής πράξης θεωρείται ότι:,Η διοικητική πράξη ίσχυε μέχρι την εξαφάνισή της.,Έληξε εφεξής η ισχύς της πράξης.,Η διοικητική πράξη ουδέποτε ίσχυσε.,Η διοικητική πράξη ουδέποτε εκδόθηκε.,2,Διοικητικό Δίκαιο
9,Κανονιστική πράξη μη δημοσιευθείσα στην Εφημερίδα της Κυβερνήσεως (ΕτΚ):,Δύναται να ανακληθεί ελευθέρως,"Δεν ανακαλείται, λόγω του ανυπόστατου χαρακτήρα της","Δύναται να ανακληθεί, εφόσον κριθεί μεταγενεστέρως ότι δεν υφίσταται ανάγκη σχετικής ρύθμισης",Δύναται να ανακληθεί υπό την προϋπόθεση ότι η πράξη ανάκλησης θα δημοσιευθεί στην Εφημερίδα της Κυβερνήσεως,1,Διοικητικό Δίκαιο
10,Χρήζουν αιτιολόγησης οι:,Ατομικές διοικητικές πράξεις,Οι μη εκτελεστού χαρακτήρα πράξεις,Οι κανονιστικές διοικητικές πράξεις,Βεβαιωτικές διοικητικές πράξεις,0,Διοικητικό Δίκαιο
11,Αναγραφή σε διοικητική πράξη ότι κατ’ αυτής προβλέπεται η άσκηση συγκεκριμένου ένδικου μέσου ενώπιον συγκεκριμένου δικαστηρίου:,Καθιδρύει αρμοδιότητα του συγκεκριμένου δικαστηρίου για την εκδίκαση του συγκεκριμένου ένδικου μέσου,Οι αρμοδιότητες των δικαστηρίων ορίζονται από το Νόμο και όχι από τη διοίκηση,"Βάσει της αρχής προστατευομένης εμπιστοσύνης του διοικουμένου, το συγκεκριμένο δικαστήριο οφείλει να προβεί στην εκδίκαση του ένδικου μέσου",Καθιστά ακυρωτέα την πράξη,1,Διοικητικό Δίκαιο
12,"Πρόταση συλλογικού διοικητικού οργάνου, προκειμένου να εκδοθεί διοικητική πράξη, ισοδυναμεί:",Με απλή γνώμη,Με κατευθυντήρια γνώμη,Με σύμφωνη γνώμη,Με καμία από τις λοιπές απαντήσεις,2,Διοικητικό Δίκαιο
13,Αίτηση διοικουμένου/ης που κατατίθεται σε αναρμόδια Υπηρεσία:,Δύναται η Υπηρεσία να την εξετάσει ως παραδεκτή,Καθίσταται απαράδεκτη,Η Υπηρεσία οφείλει εντός τριών (3) ημερών να τη διαβιβάσει στην αρμόδια,Η Υπηρεσία οφείλει εντός είκοσι πέντε (25) ημερών να τη διαβιβάσει στην αρμόδια,2,Διοικητικό Δίκαιο
