#,question,a,b,c,d,correct_answer,category
11,Η Ευρωπαϊκή Σύμβαση των Δικαιωμάτων του Ανθρώπου είναι:,Κατώτερη από τον τυπικό νόμο,Ουσιαστικός νόμος,Μέρος του ουσιαστικού Συντάγματος,Μη δεσμευτικό διεθνές κείμενο,2,Συνταγματικό Δίκαιο
12,Η αναδρομική ισχύς των νόμων:,Κατά κανόνα απαγορεύεται από το Σύνταγμα,Κατά κανόνα δεν απαγορεύεται από το Σύνταγμα,Είναι συνταγματικά επιβεβλημένη,Αφορά μόνο τους ουσιαστικούς νόμους,1,Συνταγματικό Δίκαιο
13,Η τριτενέργεια των δικαιωμάτων σημαίνει ότι:,"Τα δικαιώματα αντιτάσσονται και έναντι τρίτων, εκτός των μερών μιας σύμβασης",Τα δικαιώματα αντιτάσσονται και έναντι των ιδιωτών,Τα δικαιώματα ενεργοποιούνται με την πρόβλεψή τους σε τυπικό νόμο,Τα δικαιώματα εφαρμόζονται εάν δεν υφίσταται διάταξη τυπικού νόμου για το ίδιο ζήτημα,1,Συνταγματικό Δίκαιο
14,Η ελευθερία της τέχνης:,Είναι απόλυτη,Δεν υπόκειται σε όρια,Υπερισχύει των άλλων δικαιωμάτων,Μπορεί να περιοριστεί για λόγους προστασίας άλλων συνταγματικών δικαιωμάτων και εννόμων αγαθών,3,Συνταγματικό Δίκαιο
15,Οι δικαστικοί λειτουργοί μπορούν να εκφράζουν τις πεποιθήσεις τους υπέρ ή κατά πολιτικού κόμματος;,Απαγορεύεται απολύτως,Μόνο κατά την άσκηση των καθηκόντων τους,Μόνο εκτός της ώρας άσκησης των καθηκόντων τους,Μπορούν άνευ περιορισμού,0,Συνταγματικό Δίκαιο
16,Οι Έλληνες και οι Ελληνίδες έχουν δικαίωμα να συνέρχονται:,Ήσυχα και χωρίς όπλα,Μετά από άδεια της αστυνομίας,Εκτός των ωρών κοινής ησυχίας,"Όλες τις ημέρες της εβδομάδας, πλην της Κυριακής",0,Συνταγματικό Δίκαιο
17,Η επιβολή ιδιαίτερα έντονων κατασταλτικών μέτρων για τον περιορισμό μιας δημόσιας συγκέντρωσης σε ποια θεμελιώδη αρχή του συνταγματικού και του διοικητικού δικαίου είναι δυνατόν να προσκρούσει;,Στην αρχή της αναλογικότητας,Στην αρχή της υπεροχής και της προστασίας του δημοσίου συμφέροντος,Στην αρχή της χρηστής διοίκησης και της δικαιολογημένης εμπιστοσύνης του/της διοικούμενου/ης,Στην αρχή της διαφάνειας και της αποτελεσματικότητας της διοικητικής δράσης,0,Συνταγματικό Δίκαιο
18,Στα δικαιώματα συλλογικής δράσης συγκαταλέγεται:,Το δικαίωμα εργασίας,Το δικαίωμα του συνεταιρίζεσθαι,Το δικαίωμα αναφοράς προς τη Διοίκηση,Τ ο δικαίωμα έκφρασης γνώμης,1,Συνταγματικό Δίκαιο
19,Το πολίτευμα της Ελλάδας είναι:,Προεδρική Δημοκρατία,Προεδρευόμενη Κοινοβουλευτική Δημοκρατία,Βασιλευόμενη Κοινοβουλευτική Δημοκρατία,Προεδρική Κοινοβουλευτική Δημοκρατία,1,Συνταγματικό Δίκαιο
20,Ποια είναι η ευθύνη του/της βουλευτή για τα αυτόφωρα κακουργήματα;,Για τη δίωξή του απαιτείται ειδική άδεια,Δεν απαιτείται άδεια της Βουλής για τη δίωξή του/της,Δεν διώκεται καθόλου,Διώκεται μετά την λήξη της βουλευτικής του/της θητείας,1,Συνταγματικό Δίκαιο
21,O/Η Πρόεδρος της Δημοκρατίας μετά τις εκλογές διορίζει πρωθυπουργό:,Το πρόσωπο που υποδεικνύει ο/η απερχόμενος/η πρωθυπουργός,Τον/Την αρχηγό του πρώτου κόμματος,Τον/Την αρχηγό του κόμματος που έχει την απόλυτη πλειοψηφία των εδρών στη Βουλή,Το πρόσωπο που προτείνει η κοινοβουλευτική ομάδα του πρώτου κόμματος,2,Συνταγματικό Δίκαιο
22,Η Διοίκηση εντάσσεται στη(ν):,Νομοθετική εξουσία,Εκτελεστική εξουσία,Δικαστική εξουσία,Τέταρτη εξουσία,1,Συνταγματικό Δίκαιο
23,Το δημοψήφισμα προκηρύσσεται:,Με προεδρικό διάταγμα,Κάθε τέσσερα χρόνια,Για την εκλογή δημάρχων,Μόνο για τη συμμετοχή της χώρας σε διεθνείς οργανισμούς,0,Συνταγματικό Δίκαιο
24,Πρόωρη λήξη της βουλευτικής περιόδου λαμβάνει χώρα:,Σε περίπτωση πολέμου,Σε περίπτωση πανδημίας,Μετά από αίτημα της Κυβέρνησης προς τον/την Πρόεδρο της Δημοκρατίας για ανανέωση της λαϊκής εντολής ενόψει εθνικού θέματος εξαιρετικής σημασίας,Εάν ο/η Πρόεδρος της Δημοκρατίας διαπιστώσει ότι η Βουλή βρίσκεται σε δυσαρμονία με το λαϊκό αίσθημα,2,Συνταγματικό Δίκαιο
25,Τα συνταξιοδοτικά νομοσχέδια:,Είναι ειδικά,Είναι αναγκαία,Τροποποιούνται μόνο με πλειοψηφία 3/5 των μελών της Βουλής,Δεν μπορούν να τροποποιηθούν,0,Συνταγματικό Δίκαιο
26,Ποιος έχει δικαίωμα απονομής χάρης σε πολίτη;,O/Η Πρόεδρος της Δημοκρατίας ύστερα από πρόταση του/της Yπουργού Δικαιοσύνης και γνώμη συμβουλίου,Ο/Η Πρόεδρος της Βουλής ύστερα από εισήγηση της αρμόδιας κοινοβουλευτικής Επιτροπής,Ο/Η Πρωθυπουργός μετά από εισήγηση του Υπουργικού Συμβουλίου,Η Βουλή με την πλειοψηφία των μελών της,0,Συνταγματικό Δίκαιο
27,Τι ΔΕΝ μπορεί να αποφασιστεί με δημοψήφισμα;,Δημοσιονομικά ζητήματα,Κρίσιμα εθνικά θέματα,Κοινωνικά ζητήματα,Πολιτικά ζητήματα,0,Συνταγματικό Δίκαιο
28,Oι γενικά παραδεγμένοι κανόνες του διεθνούς δικαίου:,Υπερισχύουν έναντι κάθε άλλης αντίθετης διάταξης νόμου,Υπερισχύουν μόνο έναντι των ουσιαστικών νόμων,Υπερισχύουν μόνο έναντι των κανονιστικών πράξεων της διοίκησης,Υπερισχύουν μόνο έναντι των πράξεων νομοθετικού περιεχομένου,0,Συνταγματικό Δίκαιο
29,Βουλευτής που ψηφίζει αντίθετα προς την κοινοβουλευτική του/της ομάδα:,Οφείλει να παραιτηθεί,Χάνει την έδρα του/της,Καθίσταται αυτοδικαίως ανεξάρτητος/η βουλευτής,Καμία από τις λοιπές απαντήσεις,3,Συνταγματικό Δίκαιο
30,Η σύσταση εξεταστικής επιτροπής:,Απαιτεί απόφαση των 3/5 του όλου αριθμού των βουλευτών,Δεν μπορεί να αφορά ζητήματα άμυνας κι εξωτερικής πολιτικής,Συνιστά μορφή κοινοβουλευτικού ελέγχου,Ακολουθεί μετά την απόφαση ποινικής δίωξης υπουργού,2,Συνταγματικό Δίκαιο
31,Δικαίωμα εκλέγεσθαι στο αξίωμα του/της Προέδρου της Δημοκρατίας έχουν οι Έλληνες/ίδες πολίτες με:,Ικανότητα εκλέγειν άνω των 40 ετών,Ικανότητα εκλέγειν που είναι άνω των 40 ετών και έχουν ελληνική καταγωγή,Ικανότητα εκλέγειν,Ικανότητα εκλέγειν που είναι άνω των 25 ετών και έχουν ελληνική καταγωγή,1,Συνταγματικό Δίκαιο
32,Η διαδικασία για την εκλογή Προέδρου της Δημοκρατίας είναι:,Μυστική,Ονομαστική,Φανερή (με ανάταση της χειρός ή έγερση από τα βουλευτικά έδρανα),Ηλεκτρονική,1,Συνταγματικό Δίκαιο
33,Δεν υπόκειται σε προσυπογραφή υπουργού:,Η προκήρυξη δημοψηφίσματος,Η αναπομπή ψηφισμένου νομοσχεδίου,Η διάλυση της Βουλής για εθνικό θέμα εξαιρετικής σημασίας,Η αναστολή των εργασιών της τακτικής συνόδου της Βουλής,1,Συνταγματικό Δίκαιο
34,Οι συντακτικές πράξεις:,Έχουν αυξημένη τυπική ισχύ,Είναι παράνομες,Εκδίδονται από την αναθεωρητική Βουλή,Εκδίδονται βάσει εξουσιοδότησης απευθείας εκ του Συντάγματος,0,Συνταγματικό Δίκαιο
35,Το τυπικό Σύνταγμα είναι:,Αυστηρό,Γραπτό και αυστηρό,Οι διαδικαστικές διατάξεις του Συντάγματος,Το Σύνταγμα του 1975,1,Συνταγματικό Δίκαιο
36,Το Σύνταγμα προβλέπει:,Το επικυρωτικό συνταγματικό δημοψήφισμα,Το γνωμοδοτικό νομοθετικό δημοψήφισμα,Τη λαϊκή νομοθετική πρωτοβουλία,Καμία από τις λοιπές απαντήσεις,2,Συνταγματικό Δίκαιο
37,Η θητεία της Κυβέρνησης διαρκεί:,Τέσσερα χρόνια,Όσο διαρκεί η θητεία της Βουλής,Όσο την εμπιστεύεται η Βουλή,Μπορεί να διαρκέσει για δύο συνεχόμενες βουλευτικές περιόδους,2,Συνταγματικό Δίκαιο
38,Το ήπιο Σύνταγμα:,Δεν αναθεωρείται όπως η κοινή νομοθεσία,Είναι άγραφο,Είναι κατώτερο από το αυστηρό Σύνταγμα,Αναθεωρείται όπως η κοινή νομοθεσία,3,Συνταγματικό Δίκαιο
39,Οι Πράξεις Νομοθετικού περιεχομένου είναι:,Οργανικοί νόμοι,Ανώτερες από τον τυπικό νόμο,Ουσιαστικοί νόμοι,Ανώτερες από τις διεθνείς συμβάσεις,2,Συνταγματικό Δίκαιο
40,Η βουλευτική περίοδος:,Είναι πενταετής,Έχει την ίδια έναρξη με τη βουλευτική σύνοδο,Εμπεριέχει τη βουλευτική σύνοδο,Είναι εξαετής,2,Συνταγματικό Δίκαιο
41,Η Κυβέρνηση ζητά από τον/την Πρόεδρο της Δημοκρατίας τη διάλυση της Βουλής και την προκήρυξη εκλογών για να ανανεωθεί η λαϊκή εντολή και να αντιμετωπιστεί εθνικό θέμα εξαιρετικής σημασίας. Τις εκλογές θα διενεργήσει:,Οικουμενική Κυβέρνηση,Υπηρεσιακή Κυβέρνηση,Η ίδια Κυβέρνηση,Κυβέρνηση εθνικής ενότητας,2,Συνταγματικό Δίκαιο
42,Δεν είναι συνταγματική επιτρεπτή:,Η εκλογή βουλευτών με λίστα,Η ψήφος των εκτός επικρατείας εκλογέων,Η καθιέρωση της απλής αναλογικής,Η μείωση του όλου αριθμού των βουλευτών σε 150,3,Συνταγματικό Δίκαιο
43,Σύμφωνα με την ελεύθερη εντολή ο/η βουλευτής:,"Ανακαλείται, υπό προϋποθέσεις, από τους εκλογείς της περιφέρειάς του/της",Έχει ελευθερία γνώμης και ψήφου κατά συνείδηση,Δεν μπορεί να διαγραφεί από το κόμμα του/της,Δεν είναι ποτέ υπεύθυνος/η ποινικά,1,Συνταγματικό Δίκαιο
44,Η αναθεώρηση του Συντάγματος:,Εγκρίνεται με δημοψήφισμα,Γίνεται από μια Βουλή με αυξημένη πλειοψηφία,Είναι η μόνη δυνατότητα τυπικής αλλαγής του Συντάγματος,Είναι αρμοδιότητα του/της Προέδρου της Δημοκρατίας,2,Συνταγματικό Δίκαιο
45,Το ακαταδίωκτο των βουλευτών είναι:,Ατομικό δικαίωμα,Θεσμική εγγύηση,Κανόνας πολιτικής συμπεριφοράς,Απόλυτο,1,Συνταγματικό Δίκαιο
46,"Οι διατάξεις του ελληνικού Συντάγματος αναθεωρούνται, εκτός από εκείνες που καθορίζουν τη βάση και τη μορφή:",Της Βουλής,Του πολιτεύματος,Του εκλογικού σώματος,Της νομοθετικής διαδικασίας,1,Συνταγματικό Δίκαιο
47,Αρμόδιο όργανο για την άρση της βουλευτικής ασυλίας σε περίπτωση συκοφαντικής δυσφήμησης είναι:,Το Εφετείο,Η Βουλή,Ο/Η Πρόεδρος της Βουλής,Η κοινοβουλευτική ομάδα στην οποία ανήκει ο/η βουλευτής,1,Συνταγματικό Δίκαιο
48,Η αναθεωρητική λειτουργία μπορεί:,Να καταργήσει τον έλεγχο συνταγματικότητας των νόμων,Να περιορίσει τη θρησκευτική ελευθερία,Να καθιερώσει την αρμοδιότητα του/της Προέδρου της Δημοκρατίας να διορίζει την ηγεσία της δικαιοσύνης,Να μεταβάλει το πολίτευμα από Προεδρευόμενη σε ημι-προεδρική δημοκρατία,2,Συνταγματικό Δίκαιο
49,Η αντιπροσωπευτική αρχή:,Είναι συνώνυμο της έμμεσης δημοκρατίας σήμερα,Είναι συνώνυμο της άμεσης δημοκρατίας,Δεν είναι συνώνυμο ούτε της άμεσης ούτε της έμμεσης δημοκρατίας,Σημαίνει ότι οι βουλευτές δεσμεύονται από τη γνώμη των ψηφοφόρων της περιφέρειάς τους.,0,Συνταγματικό Δίκαιο
50,"Η θρησκευτική, κοσμοθεωρητική και πολιτική ουδετερότητα του Κράτους ως εγγύηση τήρησης της δημοκρατικής αρχής:",Αποτελεί υποχρέωση του Κράτους,Δεν αποτελεί υποχρέωση του Κράτους,Εναπόκειται στην διακριτική ευχέρεια του Κράτους,Προκύπτει από το Δίκαιο της Ευρωπαϊκής Ένωσης,0,Συνταγματικό Δίκαιο
51,Το Υπουργικό Συμβούλιο αποτελείται από την/τον Πρωθυπουργό και τις/τους Υπουργούς:,"Στους/Στις οποίους/ες περιλαμβάνονται και οι Αναπληρωτές/τριες Υπουργοί, όχι όμως και οι Υπουργοί Επικρατείας",Στους/Στις οποίους/ες περιλαμβάνονται οι Υπουργοί Επικρατείας και οι Αναπληρωτές/τριες Υπουργοί,Στους/Στις οποίους/ες περιλαμβάνονται οι Υπουργοί Επικρατείας και οι Αναπληρωτές/τριες Υπουργοί αλλά και οι Υφυπουργοί,"Στους/Στις οποίους/ες περιλαμβάνονται και οι Υπουργοί Επικρατείας, όχι όμως και οι Αναπληρωτές/τριες Υπουργοί",1,Συνταγματικό Δίκαιο
52,Ο/Η Πρόεδρος της Δημοκρατίας εκλέγεται:,Από τη Βουλή με πρόταση των κοινωνικών φορέων,Από τον Λαό με άμεση εκλογή,Από τη Βουλή με πρόταση των κοινοβουλευτικών ομάδων,Από τη Βουλή και τους/τις δημάρχους,2,Συνταγματικό Δίκαιο
53,Η αρχή της μονιμότητας των δημοσίων υπαλλήλων:,"Ταυτίζεται με την έννοια της ισοβιότητας, την οποία απολαμβάνουν οι δικαστικοί λειτουργοί","Διαφέρει από την έννοια της ισοβιότητας, την οποία απολαμβάνουν οι δικαστικοί λειτουργοί","Ορίζει ότι δεν παρέχεται η δυνατότητα απομάκρυνσης δημοσίου υπαλλήλου από την οργανική θέση στην οποία είναι διορισμένος/η, ακόμη και αν η θέση αυτή καταργηθεί με νόμο",Ισχύει για συγκεκριμένο χρονικό διάστημα,1,Συνταγματικό Δίκαιο
54,Οι δημόσιοι υπάλληλοι οφείλουν:,Πίστη στο Σύνταγμα και αφοσίωση στην πατρίδα,Πίστη στο Σύνταγμα και αφοσίωση στα εθνικά ιδεώδη,Να μη μετέχουν σε πολιτικά κόμματα και μη κυβερνητικές οργανώσεις,Να μη μετέχουν σε πολιτικά κόμματα,0,Συνταγματικό Δίκαιο
55,Το Ανώτατο Ειδικό Δικαστήριο αποφαίνεται επί ενστάσεων για την εκλογική διαδικασία:,Άμεσα,Προληπτικά,Κατασταλτικά,Αυτεπαγγέλτως,2,Συνταγματικό Δίκαιο
56,Η συνταγματικότητα ενός νόμου ελέγχεται δικαστικά:,Μόνον από το Συμβούλιο της Επικρατείας,Από όλα τα δικαστήρια,Μόνον από τον Άρειο Πάγο,Από τη Βουλή,1,Συνταγματικό Δίκαιο
57,Το Κυβερνητικό Συμβούλιο Εθνικής Ασφάλειας (ΚΥΣΕΑ):,Αποτελεί ένα από τα συλλογικά Κυβερνητικά όργανα,Έχει τεθεί υπό την εποπτεία της Προεδρίας της Κυβέρνησης,Υπάγεται στον έλεγχο των Υπουργείων Εξωτερικών και Εθνικής Άμυνας,Συνιστά ένα από τα δύο συμβούλια που υπάγονται στον/στην Πρόεδρο της Δημοκρατίας,0,Συνταγματικό Δίκαιο
58,"Η απόφαση του Ανώτατου Ειδικού Δικαστηρίου, όταν δύο ανώτατα δικαστήρια εκδίδουν αντίθετες αποφάσεις για τη συνταγματικότητα μιας διάταξης, είναι δεσμευτική για:",Τους συγκεκριμένους διαδίκους,Τα κατώτερα δικαστήρια,Τα δύο ανώτατα δικαστήρια που εξέδωσαν τις αποφάσεις,Για όλους,3,Συνταγματικό Δίκαιο
59,Οι οργανισμοί τοπικής αυτοδιοίκησης:,Έχουν διοικητική αλλά όχι οικονομική αυτοτέλεια,Έχουν οικονομική αλλά όχι διοικητική αυτοτέλεια,Δεν έχουν ούτε διοικητική ούτε οικονομική αυτοτέλεια,Έχουν τόσο διοικητική όσο και οικονομική αυτοτέλεια,3,Συνταγματικό Δίκαιο
60,Οι συνταγματικά κατοχυρωμένες Ανεξάρτητες Αρχές:,Υπόκεινται μόνο σε κοινοβουλευτικό έλεγχο,Είναι οι Δήμοι και οι Περιφέρειες της χώρας,Δεν υπόκεινται στον έλεγχο της κυβέρνησης και τα μέλη τους απολαμβάνουν προσωπική και λειτουργική ανεξαρτησία,Δεν Υπόκεινται σε δικαστικό έλεγχο,2,Συνταγματικό Δίκαιο
61,"Σύμφωνα με το Σύνταγμα, τα μέλη της Αρχής Διασφάλισης του Απορρήτου των Επικοινωνιών (ΑΔΑΕ) επιλέγονται από τη Διάσκεψη των Προέδρων της Βουλής με:",Ομοφωνία ή πάντως με την αυξημένη πλειοψηφία των 4/5 των μελών της,Πλειοψηφία των 4/5 των παρόντων μελών της,Πλειοψηφία των 3/5 των μελών της,Ομοφωνία ή τουλάχιστον πλειοψηφία των 3/5 των παρόντων μελών της,3,Συνταγματικό Δίκαιο
62,Ο/Η Συνήγορος του Πολίτη:,Προβλέπεται να είναι πρόσωπο εγνωσμένου κύρους και επιστημονικής κατάρτισης ή επαγγελματικής εμπειρίας σε τομείς που έχουν σχέση με την αποστολή και τις αρμοδιότητες της ομώνυμης Ανεξάρτητης Αρχής,Επιλέγεται με απόφαση της Διάσκεψης των Προέδρων της Βουλής για έξι χρόνια με δυνατότητα ανανέωσης της θητείας του/της,Αναδεικνύεται με απόφαση της Επιτροπής Θεσμών και Διαφάνειας της Βουλής για έξι χρόνια,Προτείνεται από τον/την Πρόεδρο της Βουλής και εκλέγεται από την Ολομέλειά της Ενότητα: Διοικητικό Δίκαιο,0,Συνταγματικό Δίκαιο
1,Το ότι η Διοίκηση οφείλει ή μπορεί να προβαίνει μόνο σε ενέργειες που προβλέπονται ή επιτρέπονται από τους κανόνες δικαίου πηγάζει από:,Την αρχή της νομιμότητας,Την αρχή της χρηστής διοίκησης,Την αρχή της δικαιολογημένης εμπιστοσύνης του διοικουμένου στη Διοίκηση,Την αρχή της διάκρισης των λειτουργιών,0,Διοικητικό Δίκαιο
2,Η αρχή της χρηστής διοίκησης:,Αποτελεί γενική αρχή μόνο του δικαίου της Ευρωπαϊκής Ένωσης,Έχει ρητή συνταγματική κατοχύρωση στην ελληνική έννομη τάξη,Διέπει την άσκηση της δέσμιας αρμοδιότητας της Διοίκησης,Διέπει την άσκηση της διακριτικής ευχέρειας της Διοίκησης,3,Διοικητικό Δίκαιο
3,Η αρχή της αποδοτικότητας έχει την έννοια ότι η:,Κεντρική Δημόσια Διοίκηση οφείλει να στοχεύει στη συνεχή αναβάθμιση του επιπέδου των εργαζομένων της,Λειτουργία της Κεντρικής Δημόσιας Διοίκησης οφείλει να συμπεριλαμβάνει τις απολύτως αναγκαίες προς την εκπλήρωση της αποστολής της δράσεις,"Λειτουργία της Κεντρικής Δημόσιας Διοίκησης οφείλει να κατατείνει στην εκπλήρωση της αποστολής της με τη χρήση των λιγότερων, κατά το δυνατόν, πόρων",Κεντρική Δημόσια Διοίκηση οφείλει να κάνει χρήση ποιοτικών πληροφοριών και δεδομένων για τη λήψη των αποφάσεων,2,Διοικητικό Δίκαιο
4,"Διοικητική πράξη (ατομική ή κανονιστική), της οποίας επιβάλλεται η δημοσίευση, έως τη δημοσίευσή της:",Είναι ανυπόστατη/ανύπαρκτη πράξη,Είναι εκτελεστή πράξη,Είναι υπό αίρεση εκτελεστή,Έχει τον χαρακτήρα εγκυκλίου,0,Διοικητικό Δίκαιο
5,Όταν για την έκδοση μιας διοικητικής πράξης απαιτείται από τις οικείες διατάξεις η ύπαρξη αιτιολογίας αυτής:,Η έλλειψή της αιτιολογίας δεν συνεπάγεται παράλειψη ουσιώδους τύπου,Η αιτιολογία αρκεί να προκύπτει από τα στοιχεία του φακέλου,Η αιτιολογία αρκεί να υπάρχει έστω και συνοπτικά στο σώμα της πράξης,Εναπόκειται στη διακριτική ευχέρεια του οργάνου η αιτιολόγηση της πράξης,2,Διοικητικό Δίκαιο
6,Ανάκληση νόμιμης επωφελούς διοικητικής πράξης επιτρέπεται:,Λόγω μεταγενέστερης διαφορετικής εκτίμησης από τη Διοίκηση των δεδομένων που υπήρχαν κατά την έκδοση της πράξης,Ελεύθερα από τη Διοίκηση χωρίς προϋποθέσεις,Για λόγους δημοσίου συμφέροντος,Για λόγους σκοπιμότητας της Διοίκησης,2,Διοικητικό Δίκαιο
7,Σύνθετη διοικητική ενέργεια υφίσταται στην περίπτωση:,Διενέργειας δημόσιου διαγωνισμού,Ανάκλησης νόμιμης πράξης,Άσκησης διοικητικής εποπτείας,Σε καμία από τις λοιπές περιπτώσεις,0,Διοικητικό Δίκαιο
8,Οι βεβαιωτικές πράξεις της Διοίκησης:,Έχουν εκτελεστό χαρακτήρα,Δεν έχουν χαρακτήρα εκτελεστής διοικητικής πράξης,Αποτελούν επιμέρους διοικητικές πράξεις σύνθετης διοικητικής ενέργειας,Διαπιστώνουν τη συνδρομή ή μη απαιτούμενων προϋποθέσεων για την έκδοση μιας πράξης,1,Διοικητικό Δίκαιο
9,Οι κανονιστικές πράξεις της διοίκησης παράγουν έννομα αποτελέσματα:,Μόνο για το μέλλον,Μόνο αναδρομικώς,"Μόνο για το μέλλον, εκτός αν ρητά επιτρέπεται η αναδρομικότητα σύμφωνα με τη νομοθετική εξουσιοδοτική διάταξη","Μόνο αναδρομικώς, εκτός αν ρητά ορίζεται άλλως στη σχετική νομοθετική εξουσιοδοτική διάταξη",2,Διοικητικό Δίκαιο
10,Η διατύπωση απλής γνώμης από συλλογικό όργανο προς το αποφασίζον συλλογικό όργανο:,Είναι εκτελεστή και προσβάλλεται δικαστικά,Είναι προπαρασκευαστική πράξη και δεν έχει εκτελεστό χαρακτήρα,Εάν η απλή γνώμη είναι δυσμενής για τον διοικούμενο έχει εκτελεστό χαρακτήρα,Δεσμεύει με το περιεχόμενό της το αποφασίζον όργανο,1,Διοικητικό Δίκαιο
11,Στη σύνθετη διοικητική ενέργεια:,Κάθε πράξη της Διοίκησης δεν δύναται να προσβληθεί πριν την ενσωμάτωσή της στην τελική διοικητική πράξη,"Όλες οι πράξεις της Διοίκησης, πριν την έκδοση της τελικής, στερούνται εκτελεστότητας",Μαζί με την τελική διοικητική πράξη συμπροσβάλλονται κι εκείνες που έχουν προηγηθεί,Για να είναι παραδεκτή η προσβολή της τελικής διοικητικής πράξης πρέπει προηγουμένως να έχουν προσβληθεί όλες οι ενδιάμεσες πράξεις,2,Διοικητικό Δίκαιο
12,Στοιχείο της έννοιας της διοικητικής πράξης είναι:,Η μονομερής θέσπιση κανόνα δικαίου,Η επιδίωξη δημόσιου σκοπού,Η προέλευση από διοικητικό όργανο,Όλες οι λοιπές απαντήσεις,3,Διοικητικό Δίκαιο
